English,Arabic
the,ال
in,في
and,و
a,أ
to,ل
was,كان
is,يكون
on,على
for,ل
as,مثل
with,مع
by,بواسطة
he,هو
that,الذي - التي
at,في
from,من
his,له
it,هو - هي
an,و
which,أيّ
are,نكون
also,أيضًا
this,هذا
had,ملك
be,يكون
first,أولاً
or,أو
has,لديه
their,هُم
after,بعد
its,إنه
she,هي
new,جديد
one,واحد
her,ها
who,من
but,لكن
not,لا
have,يملك
two,اثنين
been,كان
other,آخر
during,خلال
when,متى
into,داخل
all,الجميع
time,وقت
may,يمكن
more,أكثر
school,مدرسة
years,سنين
would,كان
over,زيادة
later,لاحقاً
between,بين
where,أين
only,فقط
national,وطني
season,موسم
most,معظم
world,عالم
state,ولاية
up,أعلى
city,مدينة
some,بعض
university,جامعة
while,بينما
made,صنع
about,عن
then,ثم
three,ثلاثة
united,متحد
him,له
such,هذه
out,خارج
team,فريق
film,فيلم
used,مستخدم
under,تحت
year,سنة
became,أصبح
known,معروف
born,وُلِدّ
part,جزء
can,يستطيع
second,ثانية
no,لا
many,كثير
states,تنص على
than,من
these,هؤلاء
including,مشتمل
american,أمريكي
being,كون
before,قبل
south,جنوب
both,كلاهما
early,مبكر
through,خلال
i,أنا
against,ضد
war,حرب
history,تاريخ
life,حياة
until,حتى
following,التالي
career,حياة مهنية
since,منذ
people,الناس
series,مسلسل
however,لكن
well,حسنًا
work,عمل
de,دي
them,هم
north,شمال
played,لعب
group,مجموعة
area,منطقة
name,اسم
district,يصرف
album,الألبوم
music,موسيقى
league,الدوري
released,مطلق سراحه
number,رقم
several,عديد
county,مقاطعة
high,عالي
won,فاز
s,س
company,شركة
march,يمشي
government,حكومة
called,مُسَمًّى
house,منزل
four,أربعة
june,يونيو
september,سبتمبر
january,يناير
club,النادي
july,يوليو
international,دولي
game,لعبة
october,اكتوبر
august,أغسطس
will,سوف
same,نفس
each,كل
began,بدأ
found,وجد
station,محطة
november,شهر نوفمبر
john,جون
west,الغرب
december,ديسمبر
football,كرة القدم
member,عضو
college,كلية
located,تقع
general,عام
end,نهاية
home,بيت
public,عام
use,يستخدم
place,مكان
so,لذا
held,محتجز
church,كنيسة
former,سابق
amp,أمبير
due,حق
song,أغنية
population,سكان
named,اسم الشيئ
took,أخذ
town,بلدة
york,يورك
february,شهر فبراير
party,حزب
served,خدم
day,يوم
around,حول
if,لو
system,نظام
river,نهر
british,بريطاني
line,خط
east,شرق
local,محلي
age,عمر
because,لأن
received,تلقى
did,فعل
final,أخير
games,ألعاب
service,خدمة
could,استطاع
any,أي
best,أفضل
based,قائم على
another,آخر
century,قرن
back,خلف
within,داخل
members,أعضاء
building,مبنى
species,صِنف
built,مبني
death,موت
village,قرية
like,يحب
said,قال
major,رئيسي
died,مات
published,نشرت
show,يعرض
include,يشمل
main,رئيسي
third,ثالث
although,بالرغم من
according,حسب
included,وشملت
order,طلب
division,قسم
road,طريق
u,ش
single,أعزب
education,تعليم
small,صغير
park,حديقة
last,آخر
set,تعيين
band,فرقة
c,ج
large,كبير
long,طويل
army,جيش
those,أولئك
own,ملك
book,كتاب
law,قانون
among,ضمن
still,ما زال
moved,انتقل
led,قاد
list,قائمة
french,فرنسي
times,مرات
research,بحث
us,نحن
central,وسط
council,مجلس
very,جداً
million,مليون
art,فن
election,انتخاب
court,محكمة
son,ابن
cup,كوب
center,مركز
community,مجتمع
children,أطفال
often,غالباً
old,قديم
top,قمة
what,ماذا
late,متأخر
again,مرة أخرى
english,إنجليزي
water,ماء
original,إبداعي
play,يلعب
near,قريب
different,مختلف
air,هواء
country,دولة
street,شارع
record,سِجِلّ
championship,بطولة
just,فقط
great,عظيم
form,استمارة
announced,أعلن
political,سياسي
down,تحت
german,ألمانية
ii,الثاني
established,مقرر
award,جائزة
military,جيش
title,عنوان
much,كثيراً
off,عن
power,قوة
started,بدأت
having,نأخذ
support,يدعم
london,لندن
white,أبيض
period,فترة
land,أرض
role,دور
head,رأس
even,حتى
went,ذهب
region,منطقة
island,جزيرة
m,م
next,التالي
came,أتى
six,ستة
office,مكتب
works,يعمل
king,ملِك
total,المجموع
worked,عمل
joined,انضم
television,التلفاز
player,لاعب
director,مخرج
father,أب
association,منظمة
various,متنوع
black,أسود
way,طريق
make,يصنع
union,اتحاد
using,استخدام
professional,احترافي
e,ه
described,موصوفة
married,متزوج
do,يفعل
become,يصبح
women,نحيف
field,مجال
returned,عاد
produced,أنتجت
business,عمل
department,قسم
wrote,كتب
social,اجتماعي
royal,الملكي
students,طلاب
program,برنامج
european,أوروبي
william,وليام
point,نقطة
b,ب
young,شاب
society,مجتمع
without,بدون
written,مكتوب
open,يفتح
site,موقع
you,أنت
summer,صيف
northern,شمالي
further,إضافي
act,يمثل
days,أيام
lost,ضائع
round,دائري
take,يأخذ
continued,واصلت
railway,سكة حديدية
few,عدد قليل
together,معاً
force,قوة
project,مشروع
founded,تأسست
services,خدمات
design,تصميم
radio,مذياع
position,موضع
event,حدث
southern,الجنوب
men,رجال
per,لكل
though,رغم ذلك
win,يفوز
india,الهند
match,مباراة
man,رجل
board,سبورة
france,فرنسا
we,نحن
australia,أستراليا
considered,يعتبر
live,يعيش
opened,افتتح
san,سان
route,طريق
version,إصدار
video,فيديو
elected,انتخب
james,جوامع
appointed,تعيين
minister,وزير
d,د
teams,فرق
debut,أول مرة
signed,وقعت
awards,جوائز
control,يتحكم
recorded,مسجل
hall,قاعة
george,جورج
police,شرطة
run,يجري
every,كل
battle,معركة
women's,للنساء
california,كاليفورنيا
health,صحة
language,لغة
construction,بناء
working,عمل
level,مستوى
right,يمين
areas,المناطق
important,مهم
playing,تلعب
red,أحمر
formed,تشكلت
appeared,ظهر
special,خاص
once,مرة واحدة
short,قصير
records,السجلات
common,شائع
making,تحضير
race,سباق
forces,القوات
case,قضية
points,نقاط
similar,مشابه
result,نتيجة
lead,يقود
popular,شائع
events,الأحداث
wife,زوجة
story,قصة
museum,متحف
personal,شخصي
style,أسلوب
media,وسائط
originally,في الأصل
lake,بحيرة
addition,إضافة
developed,متطور
how,كيف
modern,حديث
canada,كندا
living,معيشة
indian,الهندي
average,متوسط
america,أمريكا
example,مثال
committee,لجنة
science,علوم
gt,GT
little,قليل
track,مسار
training,تمرين
free,حر
upon,على
class,فصل
lt,LT
coach,مدرب
human,بشر
schools,المدارس
rock,صخر
himself,نفسه
throughout,طَوَال
players,اللاعبون
tour,رحلة
never,أبداً
eastern,الشرقية
love,حب
information,معلومة
centre,مركز
see,يرى
good,جيد
present,حاضر
tournament,المسابقة
current,حاضِر
away,بعيد
institute,معهد
rights,حقوق
germany,ألمانيا
body,جسم
seven,سبعة
province,مقاطعة
performance,أداء
census,التعداد
david,ديفيد
festival,مهرجان
finished,انتهى
return,يعود
sold,مُباع
eventually,مؤخراً
completed,مكتمل
months,شهور
study,يذاكر
chief,رئيس
followed,يتبع
daughter,بنت
currently,حالياً
stage,منصة
sea,بحر
official,رسمي
arts,الفنون
mother,الأم
academy,الأكاديمية
performed,إجراء
remained,بقي
designed,مصمم
taken,مأخوذ
should,يجب
civil,مدني
europe,أوروبا
studies,دراسات
available,متاح
features,سمات
reported,ذكرت
half,نصف
robert,روبرت
fire,نار
process,عملية
less,أقل
thomas,توماس
range,يتراوح
term,شرط
competition,مسابقة
federal,الفيدرالية
leading,قيادة
light,ضوء
space,فضاء
section,قسم
private,خاص
groups,مجموعات
japanese,اليابانية
instead,بدلاً من
refer,يشير إلى
washington,واشنطن
championships,البطولات
front,أمام
largest,أكبر
charles,تشارلز
night,ليلة
directed,توجه
network,شبكة
russian,الروسية
full,ممتلىء
help,يساعد
japan,اليابان
campaign,حملة
my,لي
does,يفعل
g,ز
episode,حلقة
featured,متميز
awarded,منحت
conference,مؤتمر
uk,المملكة المتحدة
gold,ذهب
go,يذهب
movement,حركة
involved,متضمن
kingdom,مملكة
medical,طبي
sports,رياضات
chinese,صينى
seen,مرئي
independent,مستقل
professor,أستاذ
eight,ثمانية
brother,أخ
senior,كبير
news,أخبار
studio,الاستوديو
countries,بلدان
stated,معلن
grand,كبير
previous,سابق
thus,هكذا
sent,مرسل
books,كتب
canadian,كندي
films,أفلام
get,يحصل
degree,درجة
change,يتغير
able,قادر
usually,عادة
hospital,مستشفى
r,ص
bank,بنك
added,وأضاف
middle,وسط
republic,جمهورية
replaced,استبدال
close,يغلق
either,أيضاً
ten,عشرة
organization,منظمة
magazine,مجلة
coast,ساحل
capital,عاصمة
killed,قتل
previously,سابقًا
green,أخضر
men's,مِلك الرجال
provided,متاح
writing,كتابة
primary,أساسي
culture,ثقافة
tv,تلفزيون
reached,وصل
must,يجب
above,فوق
action,فعل
lower,أدنى
week,أسبوع
historic,تاريخية
bridge,كوبري
industry,صناعة
car,سيارة
management,إدارة
paul,بول
female,أنثى
type,يكتب
data,بيانات
assembly,حَشد
soon,قريباً
big,كبير
f,F
via,عبر
post,بريد
attack,هجوم
rather,بدلاً
aircraft,الطائرات
africa,أفريقيا
scored,يحرز هدف
attended,حضرها
base,قاعدة
beginning,بداية
contract,عقد
placed,وضعت
saw,رأى
ground,أرضي
operations,عمليات
decided,مقرر
almost,بالكاد
results,نتائج
introduced,قدَّم
hill,تلة
prior,قبل
native,محلي
italian,إيطالي
theatre,مسرح
today,اليوم
buildings,البنايات
success,نجاح
outside,الخارج
los,لوس
spanish,الأسبانية
medal,ميدالية
bay,خليج
regional,إقليمية
parts,القطع
active,نشيط
michael,ميخائيل
listed,مدرج
henry,هنري
behind,خلف
african,الأفريقي
v,الخامس
collection,مجموعة
initially,بدءًا
star,نجمة
commission,عمولة
start,يبدأ
economic,اقتصادي
parliament,البرلمان
leader,قائد
represented,ممثل
approximately,تقريبًا
goal,هدف
officer,ضابط
families,العائلات
foreign,أجنبي
whose,لمن
regular,عادي
natural,طبيعي
texas,تكساس
basketball,كرة سلة
put,يضع
provide,يمد
successful,ناجح
municipality,البلدية
higher,أعلى
staff,طاقم عمل
km,كم
size,مقاس
sometimes,أحيانا
me,أنا
governor,محافظ حاكم
possible,ممكن
defeated,هزم
operation,عملية
artist,فنان
highway,الطريق السريع
significant,بارِز
units,الوحدات
christian,مسيحي
h,ح
taking,مع الأخذ
food,طعام
interest,اهتمام
especially,خصوصاً
limited,محدود
ended,انتهى
notable,ملحوظة
too,أيضاً
runs,أشواط
towards,تجاه
changed,تغير
background,خلفية
catholic,كاثوليكي
location,موقع
ship,سفينة
traditional,تقليدي
disambiguation,الغموض
allowed,مسموح
foundation,مؤسسة
paris,باريس
plant,نبات
rural,ريفي
money,مال
generally,عمومًا
square,مربع
below,أقل
met,التقى
child,طفل
roman,روماني
real,حقيقي
plays,يلعب
library,مكتبة
woman,امرأة
standard,معيار
low,قليل
owned,مملوكة
spent,أنفق
commercial,تجاري
command,يأمر
victory,فوز
come,يأتي
manager,مدير
blue,أزرق
far,بعيد
strong,قوي
unit,وحدة
navy,القوات البحرية
channel,قناة
plan,يخطط
itself,بحد ذاتها
youth,شباب
zealand,Zealand
additional,إضافي
whom,مَن
olympics,الألعاب الأولمبية
peter,نفذ
bill,فاتورة
course,دورة
annual,سنوي
airport,مطار
brown,بني
soviet,السوفيتية
richard,ريتشارد
mountain,جبل
practice,يمارس
places,أماكن
earlier,سابقًا
companies,شركات
noted,ذُكر
associated,مرتبط
property,ملكية
report,تقرير
opening,افتتاح
executive,تنفيذي
launched,أطلقت
artists,الفنانين
closed,مغلق
issues,مشاكل
individual,فردي
selected,المحدد
studied,درس
matches,اعواد الكبريت
numerous,عديد
administration,إدارة
subsequently,تبعًا
student,طالب
activities,أنشطة
press,يضعط
related,متعلق ب
edition,الإصدار
secretary,سكرتير
musical,موسيقي
historical,تاريخي
review,مراجعة
legal,قانوني
singles,الفردي
ever,أبدًا
lived,يسكن
access,وصول
policy,سياسة
cultural,ثقافي
means,وسائل
running,جري
captain,قائد المنتخب
required,مطلوب
ran,جرى
entered,دخلت
genus,جنس
elections,انتخابات
mark,علامة
loss,خسارة
chicago,شيكاغو
sound,صوت
date,تاريخ
already,بالفعل
starting,ابتداء
increased,زيادة
empire,إمبراطورية
becoming,تصبح
democratic,ديمقراطية
italy,إيطاليا
religious,ديني
past,ماضي
person,شخص
majority,غالبية
stadium,ملعب
move,يتحرك
smith,حداد
goals,الأهداف
appearance,مظهر
complex,معقد
find,يجد
better,أحسن
angeles,أنجلوس
competed,تنافس
test,امتحان
lines,خطوط
here,هنا
rest,استراحة
w,ث
writer,كاتب
older,اكبر سنا
finally,أخيراً
mexico,المكسيك
dr,دكتور
congress,الكونغرس
islands,جزر
cases,حالات
contains,يتضمن
chart,جدول
changes,التغييرات
nine,تسع
caused,تسبب
mary,ماري
terms,شروط
stone,حجر
seat,مقعد
decision,قرار
overall,إجمالي
retired,متقاعد
mostly,خاصة
biography,سيرة شخصية
mission,مهمة
forest,غابة
wide,واسع
complete,مكتمل
operated,تعمل
room,غرفة
programs,البرامج
meeting,مقابلة
serving,خدمة
van,سيارة نقل
thought,معتقد
evidence,شهادة
hours,ساعات
status,حالة
highest,أعلى
going,ذاهب
t,ر
sir,سيد
l,ل
justice,عدالة
greek,اليونانية
supported,أيد
politician,سياسي
author,مؤلف
forced,قسري
feature,ميزة
port,ميناء
castle,قلعة
theory,نظرية
russia,روسيا
recording,تسجيل
source,مصدر
passed,اجتاز
junior,مبتدئ
wales,ويلز
earned,حصل
remains,بقايا
relationship,علاقة
give,يعطي
issue,مشكلة
score,نتيجة
income,دخل
got,يملك
entire,كامل
claimed,ادعى
florida,فلوريدا
engine,محرك
singer,مغني
create,يخلق
raised,نشأ
response,إجابة
era,حقبة
nature,طبيعة
upper,العلوي
saint,القديس
parish,أبرشية
fight,يعارك
key,مفتاح
fort,الحصن
marriage,زواج
fellow,زميل
administrative,إداري
weeks,أسابيع
